,FIPS,State,SizeRank,RegionName,zhvi_2017,zhvi_2018,zhvi_2019,zhvi_2020,zhvi_2021,B01002_001E,B01003_001E,B08134_001E,B15012_001E,B19013_001E,B19083_001E,B23025_005E,B25001_001E,B25002_002E,B25018_001E,B25035_001E,B25040_002E,B25064_001E,B25081_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,ALAND,AWATER,INTPTLAT,INTPTLONG,AREA
0,06037,CA,0,Los Angeles County,532433.7047636285,597335.5130302658,621245.9638813888,657124.9070555761,751599.6889227912,37.0,10019635.0,4234400.0,0.2523782552957268,76367.0,0.4969,0.03669944064828709,3578801.0,0.934058920850866,4.6,1964,0.6043074202784675,1653.0,0.4319684162377288,0.43734916491469,0.07936546590769025,0.00991293595026166,0.14756635346497152,0.0024335217799849995,0.21976239653440469,0.10361016144799685,0.06948366881627924,0.034126492631717624,0.854889483873797,0.14511051612620296,34.196398,-118.261862,12300991373
1,17031,IL,1,Cook County,204692.59953360245,215945.63994064395,219847.16524560962,227922.95408375122,253905.72536796264,37.3,5265398.0,2263021.0,0.3076789256956454,72121.0,0.5052,0.03873781241228109,2253936.0,0.9071499811884632,5.2,1960,0.7417668469734722,1214.0,0.5213737213478998,0.5203845939091404,0.2300376913578043,0.004342881582740754,0.0753658128027549,0.0003927528365377128,0.09943085024152021,0.07004541726950175,0.04586908719910632,0.02417633007039544,0.5780648150065225,0.42193518499347743,41.894294,-87.645455,4233682024
2,48201,TX,2,Harris County,182012.903139794,190954.28658869662,200517.02091614713,209354.01787420118,236830.7291206833,33.9,4697957.0,2031669.0,0.22225618497572455,65788.0,0.4968,0.0333219312139298,1821640.0,0.9104449836411146,5.3,1986,0.38550481983267826,1164.0,0.4999456533672954,0.5201241731246157,0.18919415396948078,0.005051344658965589,0.07029417255202634,0.000614096723320371,0.1020694740288172,0.11265258494277407,0.08810915042432274,0.02454343451845132,0.9604226374138688,0.039577362586131155,29.857273,-95.393037,4603333676
3,04013,AZ,3,Maricopa County,255998.48052047333,275989.44882684253,293629.00493822887,323159.04567411565,387000.78305703984,36.9,4367186.0,1820741.0,0.24704855712580137,72944.0,0.4572,0.025526048123436923,1794248.0,0.9096574163660764,5.4,1991,0.24852138611830696,1275.0,0.5805061507662262,0.7046713833576129,0.05624582969445313,0.018822646894361725,0.04228008607831221,0.002100666195577656,0.07027408495997194,0.10560530281971045,0.06711896401939373,0.038486338800316724,0.9974001384253874,0.002599861574612581,33.345176,-112.49893,23895235272
4,06073,CA,4,San Diego County,550833.8189362969,586713.1178169268,599100.4090233928,634451.3131383806,745073.6608203453,36.3,3296317.0,1416912.0,0.29463307078779133,88240.0,0.4615,0.0334891941521401,1221613.0,0.9331097491595128,4.9,1979,0.5302186535343026,1842.0,0.504409334216319,0.6198520955357145,0.0490335122501871,0.007995286861063423,0.11960591168871197,0.004125816782791218,0.08065213388154113,0.1187352429999906,0.0671937802098524,0.05154146279013821,0.9302764686068401,0.06972353139315987,33.023604,-116.776117,11721826601
5,06059,CA,5,Orange County,676930.9691482662,730153.6333873924,734522.4279213478,769486.5935700098,875577.0926957972,38.5,3182923.0,1371394.0,0.3095330926949851,100485.0,0.4662,0.028759413909792978,1121753.0,0.942802916506575,5.1,1976,0.6509391996277255,2057.0,0.5370522744311805,0.5364854883388633,0.017303277521950735,0.0058377158354129205,0.21314873152759273,0.002870945982670646,0.12944453887197396,0.09490930192153564,0.0544530923305402,0.04045620959099545,0.83483589250494,0.16516410749506008,33.675687,-117.777207,2459755265
6,36047,NY,6,Kings County,479347.8753430356,533110.9881197681,580768.7875675068,600229.3798636972,634703.2284582113,35.7,2712360.0,1088284.0,0.29900345086935365,67753.0,0.5286,0.03590489463050627,1067820.0,0.922541252270982,4.0,1940,0.6990269895675301,1582.0,0.2831048304021277,0.421020439764633,0.3046052146470233,0.004456635549853264,0.11820702266660768,0.0005360645342063737,0.09298728782315031,0.058187335014526095,0.0273330236399298,0.030854311374596294,0.7163218083280944,0.28367819167190556,40.635045,-73.95064,250843241
7,12086,FL,7,Miami-Dade County,260467.12356017905,289881.66781827225,303237.1435800548,319795.6917672685,364676.6517808645,40.4,2690113.0,1192352.0,0.2384851491368578,57815.0,0.5134,0.026639029661579272,1064991.0,0.8792102468471564,4.5,1978,0.023998324868473066,1470.0,0.456358786130587,0.5650327699988811,0.16282550212574715,0.002254552132196677,0.015474442895149758,0.00019738947769108584,0.05288774114693323,0.20132760222340101,0.18640109170135233,0.014926510522048702,0.7951733851051395,0.20482661489486054,25.616009,-80.50375,6188312855
8,48113,TX,8,Dallas County,189921.9451836662,208783.02185099616,219320.31834234184,231471.32692028026,264330.2908224969,33.7,2604722.0,1159169.0,0.22745613543403095,65011.0,0.491,0.027256267655435013,1028817.0,0.9205193926616687,5.0,1981,0.33369880163333226,1233.0,0.46513033902044776,0.5175665579666467,0.22503054068725953,0.005469681601337878,0.06597402717065391,0.00035934736989206526,0.0879840535765429,0.09761579162766698,0.07255323216834657,0.02506255945932042,0.9610429670677259,0.038957032932274184,32.766987,-96.778424,2353099533
9,06065,CA,9,Riverside County,352320.8603234371,384881.8581417241,398315.06640178635,419104.38211932586,493371.7272720453,36.0,2409331.0,938483.0,0.16268665451114853,76066.0,0.4524,0.03376954017526027,844425.0,0.8769351925866714,5.5,1989,0.611918169168369,1552.0,0.597411256180241,0.5115735446893764,0.06485410265339217,0.00824212198323933,0.06796866017994206,0.003212925081692802,0.23148085505893545,0.11266779035342175,0.07344486913587216,0.039222921217549604,0.9871629701108631,0.012837029889136896,33.729828,-116.002239,18914654176
10,36081,NY,10,Queens County,299963.72271753,457354.21533006156,487679.7051275922,501253.6775163686,530074.9038630973,39.6,2393104.0,1038725.0,0.26173413274141033,75886.0,0.4546,0.036447225026576366,889744.0,0.9075284576237659,4.3,1952,0.684007984319085,1711.0,0.4119094930676689,0.33607022511349277,0.17802318662289646,0.005520027545814975,0.2576996235851012,0.0004801295723044214,0.14638018239073605,0.07582662516965413,0.05031791347137442,0.025508711698279722,0.5990873294549168,0.40091267054508317,40.654658,-73.841209,470038397
11,53033,WA,11,King County,558129.7803497388,630177.8971153272,628832.6780047144,658498.7760916161,753043.7436159066,37.1,2240876.0,987288.0,0.42712091164348226,106326.0,0.4723,0.026498119485415524,957123.0,0.9427294088638556,5.1,1981,0.40074055267713765,1801.0,0.5334236038628264,0.6052387548440877,0.06447210822910326,0.006107879240082896,0.18762037703112533,0.007305178867550012,0.04392121652425212,0.08533448526379862,0.021869126181011354,0.06346535908278726,0.9169130157716381,0.0830869842283619,47.490552,-121.833977,5976276364
12,32003,NV,12,Clark County,245757.648288434,281852.9427455018,301611.24899655447,311961.7152762331,352699.20400593634,37.6,2231147.0,943438.0,0.18819781932790622,64210.0,0.4697,0.03901401386820322,910667.0,0.8963715606253438,5.2,1996,0.5252578604473425,1257.0,0.49702470826328393,0.5307704960721996,0.11951296799359254,0.009357967000829618,0.10001178765899334,0.007979303918567446,0.12319313787930602,0.10917433947651141,0.056704018157476846,0.052470321319034556,0.9790022730223026,0.020997726977697393,36.21413,-115.014398,20877692641
13,06071,CA,13,San Bernardino County,311961.8502052718,350184.1769785905,364040.87248483277,386437.37426368264,452967.2170621234,33.8,2171071.0,853601.0,0.14686207866992834,70287.0,0.439,0.03475105143958903,728674.0,0.8944232949165196,5.4,1982,0.6479852444302939,1427.0,0.5410499070915115,0.507227538850641,0.0802226182377269,0.010764733166257576,0.07498418983073331,0.003233887790864509,0.19946192455244438,0.12410510757133231,0.08238330298732745,0.04172180458400485,0.9981483896287076,0.0018516103712923906,34.856661,-116.181571,52072729498
14,48439,TX,14,Tarrant County,205223.20278992745,224310.11196552904,236036.1021261542,249545.68726125677,282510.2300230828,34.8,2091953.0,934770.0,0.2285873535399696,73545.0,0.4543,0.026622013018456916,797482.0,0.9276748566111837,5.5,1987,0.29679917540458595,1217.0,0.5544890041405324,0.5953269504620802,0.16959176425091768,0.004918848559217153,0.05664850022921165,0.001952242712909898,0.08569312981697008,0.08586856396869337,0.053939070332842086,0.031929493635851285,0.9573714886741742,0.04262851132582578,32.772119,-97.291224,2340768746
15,48029,TX,15,Bexar County,172507.2292639203,182682.79213043881,190490.99189463977,201894.9615261254,229922.23846655557,34.0,1990522.0,858896.0,0.20606052080810963,62169.0,0.4654,0.02804189051917035,778063.0,0.9216785787269154,5.4,1987,0.2714690198608596,1114.0,0.540939486905302,0.6396930051514126,0.07592078861725718,0.00704890475965601,0.030074523165280264,0.0012353543442373408,0.07918927798838697,0.1668381459737697,0.13423262842611133,0.03260551754765835,0.9874620460692732,0.012537953930726717,29.448671,-98.520147,3253215415
16,06085,CA,16,Santa Clara County,975300.8047817791,1172638.9656133184,1161290.1883716965,1174127.8939162376,1333068.7430528116,37.5,1932022.0,827218.0,0.40534786870956957,140258.0,0.4674,0.02430458866410424,683510.0,0.9463606969905342,5.0,1974,0.5813667685915349,2530.0,0.5312343637986277,0.3902786821268081,0.02459495802842825,0.0061577973749781315,0.3812844781270607,0.003417662945867076,0.09793729056915501,0.0963291308277028,0.05043058515896817,0.04589854566873462,0.9900530085375955,0.009946991462404572,37.221614,-121.68954,3377488573
17,12011,FL,17,Broward County,234397.70652178783,255764.31797624953,269199.64988248376,283912.1488749968,324937.441126613,40.7,1934551.0,870554.0,0.25933149345765505,64522.0,0.4889,0.03222143019232886,854965.0,0.8567181112677127,4.6,1980,0.020876878000853836,1503.0,0.5371436257624581,0.5249305911294145,0.2854341911895835,0.002495669537789389,0.036180488392396994,0.0005825641195295446,0.039279915597986305,0.11109658003329971,0.07802327258366412,0.0330733074496356,0.9193545215656298,0.0806454784343702,26.193535,-80.476683,3388813202
18,26163,MI,18,Wayne County,76007.23657306258,89812.08389991727,102290.40185533355,111224.40372355573,133062.49895103552,37.8,1789781.0,677139.0,0.18869682938862353,52830.0,0.4906,0.043123153056156036,793207.0,0.8643834459352981,5.7,1956,0.7550034228139691,951.0,0.547695620437036,0.5172733423809952,0.3779814401873749,0.003371362194592523,0.0343533650206366,0.00019611337923466614,0.023728601432242268,0.04309577540492384,0.012281949579306072,0.03081382582561777,0.909487643490732,0.09051235650926799,42.284664,-83.261953,1742401558
19,06001,CA,19,Alameda County,744236.1146320893,831483.6089050526,834883.6396162412,857307.455588075,1005967.117616584,38.0,1673133.0,683447.0,0.38240474606621233,112017.0,0.4633,0.027790976569107177,617045.0,0.9426913758315844,4.8,1968,0.6458556507223946,2043.0,0.5079208161479308,0.35908143584520774,0.10198352432233421,0.007445313672015315,0.3158756655926337,0.0079557333457651,0.11823686461267574,0.08942146260936817,0.03406901902000618,0.05535244358936199,0.8980170240090734,0.10198297599092665,37.647139,-121.912488,2126920154
20,36061,NY,20,New York County,882877.5551239996,1030091.9637795786,1030285.6749299696,1042988.3104928662,1098526.990930765,38.1,1669127.0,736311.0,0.5313771810053999,93956.0,0.5968,0.03858064724853172,907018.0,0.8458630368967319,3.3,1951,0.4036005900654673,1869.0,0.20850633614768396,0.5355775803758491,0.14048901012325604,0.004430459755309212,0.1195601053724492,0.0004421473021525624,0.12364187985695517,0.07585881721402865,0.03877955362294181,0.03707926359108684,0.6691869674169002,0.3308130325830998,40.776642,-73.970187,87694296
21,25017,MA,21,Middlesex County,503517.4499523472,540387.0872614969,554442.511588713,579368.4407483989,641037.6772162261,38.5,1623411.0,743450.0,0.44399231001884304,111790.0,0.4697,0.02619114937622081,653621.0,0.9551942180560294,5.7,1960,0.5700520638106793,1815.0,0.5895404217428755,0.7292749648733439,0.05144907851431338,0.0019009357457846472,0.12705839741137642,0.0005088052255405439,0.0334696512466652,0.05633816698297597,0.02502693402964499,0.03131123295333098,0.9656645647015923,0.034335435298407636,42.481718,-71.394916,2193581801
22,42101,PA,22,Philadelphia County,134894.37180734114,149865.5671167442,164596.42197848725,180520.86837427213,199482.7903155428,34.8,1596865.0,634527.0,0.2429053176066856,52649.0,0.5178,0.04481593622504094,720688.0,0.897209333303732,5.6,1948,0.6421294651777191,1149.0,0.47020069711164886,0.38459544169356835,0.40828623584335555,0.0031373973379089652,0.07408077702247842,0.0004684178061389034,0.0767052944362861,0.0527264358602637,0.019567089265529646,0.03315934659473406,0.9415395336098068,0.058460466390193165,40.009376,-75.133346,369587917
23,06067,CA,23,Sacramento County,338821.8444121622,367929.2866984999,381177.367070006,407179.2290864848,472463.2327702686,36.6,1571767.0,628001.0,0.23408876760995745,76422.0,0.4456,0.032732586954682216,583858.0,0.9574862380921388,5.4,1980,0.5701540443052934,1434.0,0.5532475362159978,0.5208074733723256,0.09673889323290284,0.006656839086200435,0.16860832426180217,0.01135982623378656,0.08934403127181065,0.10648461254117181,0.03987932053542287,0.06660529200574894,0.9707525687583742,0.029247431241625786,38.450136,-121.344329,2575386446
24,36103,NY,24,Suffolk County,385430.04469267576,394664.22871732665,432201.0466643469,454492.3447086136,508868.1034167477,41.7,1522998.0,702733.0,0.2860706317408165,111660.0,0.4438,0.02557127455190355,578345.0,0.8741564291210264,6.4,1969,0.35017679758621584,1895.0,0.7154259135982848,0.7625617367849465,0.07512682222826295,0.0027918618409216557,0.040832620922680134,0.00014576512904153517,0.05795739718633905,0.06058379590780815,0.03930537006614585,0.0212784258416623,0.3838285678846183,0.6161714321153817,40.943554,-72.692218,6146695289
25,12099,FL,25,Palm Beach County,262980.641118598,280326.72375309665,292927.15196627256,307592.5262774086,357832.1886237243,45.0,1481233.0,604596.0,0.29717336840321545,68874.0,0.5199,0.030338238481049235,702877.0,0.8267719672147474,5.0,1986,0.02708866558444792,1534.0,0.5740022792039006,0.653556867825656,0.18617732659210265,0.0024641633017897925,0.02802395031706693,0.00031797833291588834,0.040955069188979724,0.08850464444148895,0.06357878875234349,0.024925855689145463,0.8242241833575024,0.17577581664249758,26.649126,-80.448354,6172461040
26,36005,NY,26,Bronx County,157311.19102059424,256694.11562427905,289511.2504110301,311371.9995498306,321645.58815067855,34.8,1468262.0,544865.0,0.14744371236196266,43726.0,0.5117,0.05137434599546947,543402.0,0.9594002230392968,3.9,1952,0.46916095266487795,1306.0,0.1903618315722062,0.19926756941199866,0.3446843955642794,0.007933870113099706,0.038338525413039365,0.0014091490483306114,0.32206309228189517,0.08630339816735705,0.0577458246552727,0.028557573512084357,0.7351532763082872,0.26484672369171286,40.848711,-73.852939,148588978
27,12057,FL,27,Hillsborough County,214203.12260983224,230656.4350005409,241585.77030796246,258484.01100242537,305817.60852761293,37.6,1444359.0,617397.0,0.2601133097796324,64164.0,0.4809,0.026129237952614275,595841.0,0.9190002030743101,5.4,1989,0.055120409639484357,1259.0,0.5494855171094302,0.6338237238802819,0.16524077462736064,0.0028593999137333584,0.04210518299120925,0.0008585123227674007,0.050565683462352504,0.104546722802295,0.06658732351167543,0.037959399290619575,0.7700594915081891,0.2299405084918109,27.893154,-82.379991,3439042247
28,12095,FL,28,Orange County,228154.46920400907,248010.98426991876,263810.9681716259,279466.0811885528,318115.40243012045,35.7,1409949.0,632481.0,0.25448083583165065,65784.0,0.4804,0.030608908549174474,554517.0,0.8571279149241592,5.4,1992,0.039272015105037354,1375.0,0.48467585303967237,0.5546221884621358,0.20737203969788978,0.002366752272599931,0.052125998883647565,0.0009766310696344336,0.0679882747532003,0.11454811486089213,0.08088803212031073,0.033660082740581396,0.8998333198469776,0.10016668015302248,28.514391,-81.323284,2598885903
